name,name_lc,name_lc_metaphone,name_lc_arpabet
'Little' Jimmy Dickens,'little' jimmy dickens,LTL JM TKNS,' LIH1TAH0L ' JHIH1MIY0 DIH1KAH0NZ
13th Dalai Lama,13th dalai lama,0 TL LM,THER1TIY1NTH DAE1LEY2 LAA1MAH0
14th Dalai Lama,14th dalai lama,0 TL LM,FAO1RTIY1NTH DAE1LEY2 LAA1MAH0
1980 Miami riots,1980 miami riots,MM RTS,NAY1NTIY1N EY1TIY0 MAY0AE1MIY0 RAY1AH0TS
2 Cold Scorpio,2 cold scorpio,KLT SKRP,TUW1 KOW1LD SKAO1RPIY0OW2
2 Tuff Tony,2 tuff tony,TF TN,TUW1 TAH1F TOW1NIY0
A C Wharton,a c wharton,A K HRTN,AH0 SIY1 WAO1RTAH0N
A Guy Called Gerald,a guy called gerald,A K KLT JRLT,AH0 GAY1 KAO1LD JHEH1RAH0LD
A. A. Allen,a. a. allen,A A ALN,AH0 . AH0 . AE1LAH0N
A. A. Gill,a. a. gill,A A JL,AH0 . AH0 . GIH1L
A. A. Krishnaswami Ayyangar,a. a. krishnaswami ayyangar,A A KRXNSWM AYNKR,AH0 . AH0 . KRIH0SNHHAW2ZAA1MIY0 AY2YAA1NGGAA2R
A. Alfred Taubman,a. alfred taubman,A ALFRT TBMN,AH0 . AE1LFRAH0D TAW1BMAH0N
A. B. Stoddard,a. b. stoddard,A B STTRT,AH0 . BIY1 . STAA1DER0D
A. C. Benson,a. c. benson,A K BNSN,AH0 . SIY1 . BEH1NSAH0N
A. C. Bhaktivedanta Swami Prabhupada,a. c. bhaktivedanta swami prabhupada,A K BHKTFTNT SWM PRBHPT,AH0 . SIY1 . BAE2KTAH0VIH0DEH1TAH0 SWAA1MIY0 PRAA0BHHUW1PAH0DAH0
A. C. Bradley,a. c. bradley,A K BRTL,AH0 . SIY1 . BRAE1DLIY0
A. C. Grayling,a. c. grayling,A K KRLNK,AH0 . SIY1 . GREY1LIH0NG
A. C. Green,a. c. green,A K KRN,AH0 . SIY1 . GRIY1N
A. E. Housman,a. e. housman,A E HSMN,AH0 . IY1 . HHAW1SMAH0N
A. E. W. Mason,a. e. w. mason,A E MSN,AH0 . IY1 . DAH1BAH0LYUW0 . MEY1SAH0N
A. E. Wilder-Smith,a. e. wilder-smith,A E WLTRSM0,AH0 . IY1 . WAY1LDER0MSHIH2P
